Inferred,lavin_deranged,lavin_ghost,lavin_magic,lavin_multi,lavin_slasher,no_lavin_tag
0,3,0,0,0,0,9
1,3,0,0,0,0,2
10,1,0,0,1,0,12
11,0,0,0,0,0,3
12,1,3,0,0,0,46
13,2,0,0,0,0,42
14,0,0,0,0,0,13
15,0,1,0,1,0,20
16,0,0,0,0,0,2
17,0,0,0,0,0,2
18,0,0,0,0,0,9
19,0,0,0,0,0,1
2,0,0,0,0,0,5
20,0,1,0,0,0,4
21,0,0,0,0,0,6
22,0,1,0,0,0,18
23,2,2,1,1,0,37
24,0,0,0,0,0,1
25,0,0,0,0,0,12
26,0,0,0,0,0,1
27,0,25,2,2,0,48
28,0,0,0,0,0,5
29,0,0,1,0,0,17
3,0,0,0,0,0,1
30,0,0,0,0,0,3
31,0,1,2,0,1,44
32,0,0,0,0,0,14
33,0,0,1,0,0,41
34,0,0,0,0,0,18
35,0,0,1,0,0,22
36,0,0,0,0,0,20
37,0,0,0,0,0,49
38,0,0,2,2,0,20
39,1,0,0,0,0,66
4,0,1,0,0,0,14
40,0,1,2,0,0,30
41,0,0,2,0,0,49
42,0,1,4,2,2,107
43,0,0,0,0,0,1
5,0,1,0,0,0,8
6,0,0,0,0,0,3
7,0,5,5,5,0,29
8,0,0,0,0,0,25
9,0,1,0,1,0,7
